,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_N,Embarked_Q,Embarked_S,Survived
0,0.2711736617240512,0.125,0.0,0.014151057562208049,False,False,True,False,True,False,False,False,True,0
1,0.4722292033174164,0.125,0.0,0.13913573538264068,True,False,False,True,False,True,False,False,False,1
2,0.32143754712239253,0.0,0.0,0.015468569817999833,False,False,True,True,False,False,False,False,True,1
3,0.4345312892686604,0.125,0.0,0.10364429745562033,True,False,False,True,False,False,False,False,True,1
4,0.4345312892686604,0.0,0.0,0.015712553569072387,False,False,True,False,True,False,False,False,True,0
5,0.36792055349407915,0.0,0.0,0.01650950209357577,False,False,True,False,True,False,False,True,False,0
6,0.6732847449107816,0.0,0.0,0.10122885832000206,True,False,False,False,True,False,False,False,True,0
7,0.01985423473234481,0.375,0.16666666666666666,0.04113566043083236,False,False,True,False,True,False,False,False,True,0
8,0.33400351847197784,0.0,0.3333333333333333,0.021730754366528396,False,False,True,True,False,False,False,False,True,1
9,0.17064589092736868,0.125,0.0,0.058694292654020104,False,True,False,True,False,True,False,False,False,1
10,0.04498617743151546,0.125,0.16666666666666666,0.03259622914329302,False,False,True,True,False,False,False,False,True,1
11,0.723548630309123,0.0,0.0,0.051822148727810165,True,False,False,True,False,False,False,False,True,1
12,0.24604171902488062,0.0,0.0,0.015712553569072387,False,False,True,False,True,False,False,False,True,0
13,0.4847951746670017,0.125,0.8333333333333333,0.06104473451835265,False,False,True,False,True,False,False,False,True,0
14,0.17064589092736868,0.0,0.0,0.015330377421392339,False,False,True,True,False,False,False,False,True,0
15,0.685850716260367,0.0,0.0,0.03122992013728673,False,True,False,True,False,False,False,False,True,1
16,0.01985423473234481,0.5,0.16666666666666666,0.05684821399990475,False,False,True,False,True,False,False,True,False,0
17,0.36792055349407915,0.0,0.0,0.025374310111545468,False,True,False,False,True,False,False,False,True,1
18,0.38426740387031916,0.125,0.0,0.03513366015444757,False,False,True,True,False,False,False,False,True,0
19,0.36792055349407915,0.0,0.0,0.014102260811993537,False,False,True,True,False,True,False,False,False,1
20,0.4345312892686604,0.0,0.0,0.050748620223090936,False,True,False,False,True,False,False,False,True,0
21,0.4219653179190751,0.0,0.0,0.025374310111545468,False,True,False,False,True,False,False,False,True,1
22,0.18321186227695402,0.0,0.0,0.015671954672893913,False,False,True,True,False,False,False,True,False,1
23,0.34656948982156316,0.0,0.0,0.06929138530460494,True,False,False,False,True,False,False,False,True,1
24,0.09525006282985675,0.375,0.16666666666666666,0.04113566043083236,False,False,True,True,False,False,False,False,True,0
25,0.4722292033174164,0.125,0.8333333333333333,0.06126431989431795,False,False,True,True,False,False,False,False,True,1
26,0.36792055349407915,0.0,0.0,0.014102260811993537,False,False,True,False,True,True,False,False,False,0
27,0.2334757476752953,0.375,0.3333333333333333,0.5133418122566507,True,False,False,False,True,False,False,False,True,0
28,0.36792055349407915,0.0,0.0,0.01537917417160685,False,False,True,True,False,False,False,True,False,1
29,0.36792055349407915,0.0,0.0,0.015411575213749286,False,False,True,False,True,False,False,False,True,0
30,0.49736114601658704,0.0,0.0,0.05410739813385612,True,False,False,False,True,True,False,False,False,0
